Old_Spleen_non-dox_5243
ENSMUSG00000000001	4781
ENSMUSG00000000003	0
ENSMUSG00000000028	1332
ENSMUSG00000000031	24
ENSMUSG00000000037	37
ENSMUSG00000000049	2
ENSMUSG00000000056	2197
ENSMUSG00000000058	273
ENSMUSG00000000078	3686
ENSMUSG00000000085	603
ENSMUSG00000000088	1095
ENSMUSG00000000093	125
ENSMUSG00000000094	1
ENSMUSG00000000103	3
ENSMUSG00000000120	442
ENSMUSG00000000125	20
ENSMUSG00000000126	3
ENSMUSG00000000127	366
ENSMUSG00000000131	3782
ENSMUSG00000000134	1982
ENSMUSG00000000142	259
ENSMUSG00000000148	964
ENSMUSG00000000149	4186
ENSMUSG00000000154	36
ENSMUSG00000000157	1307
ENSMUSG00000000159	1
ENSMUSG00000000167	12
ENSMUSG00000000168	1037
ENSMUSG00000000171	3934
ENSMUSG00000000182	5
ENSMUSG00000000183	1
ENSMUSG00000000184	9200
ENSMUSG00000000194	2325
ENSMUSG00000000197	4
ENSMUSG00000000202	2
ENSMUSG00000000204	5568
ENSMUSG00000000214	0
ENSMUSG00000000215	1
ENSMUSG00000000216	0
ENSMUSG00000000223	58
ENSMUSG00000000244	1992
ENSMUSG00000000247	24
ENSMUSG00000000248	93
ENSMUSG00000000253	309
ENSMUSG00000000263	0
ENSMUSG00000000266	365
ENSMUSG00000000275	3646
ENSMUSG00000000276	793
ENSMUSG00000000278	2473
ENSMUSG00000000282	1286
ENSMUSG00000000290	15665
ENSMUSG00000000295	284
ENSMUSG00000000296	6
ENSMUSG00000000301	37
ENSMUSG00000000303	227
ENSMUSG00000000305	91
ENSMUSG00000000308	10
ENSMUSG00000000317	224
ENSMUSG00000000318	315
ENSMUSG00000000320	3524
ENSMUSG00000000325	980
ENSMUSG00000000326	2246
ENSMUSG00000000339	486
ENSMUSG00000000340	608
ENSMUSG00000000346	8758
ENSMUSG00000000355	914
ENSMUSG00000000359	186
ENSMUSG00000000365	26
ENSMUSG00000000374	3034
ENSMUSG00000000378	2873
ENSMUSG00000000381	0
ENSMUSG00000000384	1632
ENSMUSG00000000385	2
ENSMUSG00000000386	853
ENSMUSG00000000392	85
ENSMUSG00000000394	7
ENSMUSG00000000399	2289
ENSMUSG00000000402	2
ENSMUSG00000000409	5278
ENSMUSG00000000411	5
ENSMUSG00000000416	98
ENSMUSG00000000420	4347
ENSMUSG00000000435	0
ENSMUSG00000000439	1488
ENSMUSG00000000440	691
ENSMUSG00000000441	1800
ENSMUSG00000000486	4768
ENSMUSG00000000489	1192
ENSMUSG00000000530	1472
ENSMUSG00000000531	167
ENSMUSG00000000532	1112
ENSMUSG00000000538	1235
ENSMUSG00000000544	2
ENSMUSG00000000552	1275
ENSMUSG00000000555	903
ENSMUSG00000000560	3
ENSMUSG00000000561	702
ENSMUSG00000000562	63
ENSMUSG00000000563	3334
ENSMUSG00000000567	44
ENSMUSG00000000568	4775
ENSMUSG00000000579	1
ENSMUSG00000000581	1009
ENSMUSG00000000594	12697
ENSMUSG00000000600	1487
ENSMUSG00000000605	2684
ENSMUSG00000000606	0
